bot,bot comp,label,lose,CI low,CI high,n,tie,CI low,CI high,n,win,CI low,CI high,n
bart_fid_rag_bcb,others,consistent,0.6,0.31267376973365824,0.8318196702937638,10.0,0.0,0.0,0.27753279986288926,10.0,0.4,0.1681803297062361,0.6873262302663417,10.0
bart_fid_rag_bcb,others,emotional,0.4,0.1681803297062361,0.6873262302663417,10.0,0.0,0.0,0.27753279986288926,10.0,0.6,0.31267376973365824,0.8318196702937638,10.0
bart_fid_rag_bcb,others,engaging,0.5,0.23659309051256394,0.7634069094874361,10.0,0.0,0.0,0.27753279986288926,10.0,0.5,0.23659309051256394,0.7634069094874361,10.0
bart_fid_rag_bcb,others,grammatical,0.3,0.10779126740630104,0.6032218525388546,10.0,0.1,0.017876213095072924,0.40415002679523854,10.0,0.6,0.31267376973365824,0.8318196702937638,10.0
bart_fid_rag_bcb,others,informative,0.3,0.10779126740630104,0.6032218525388546,10.0,0.0,0.0,0.27753279986288926,10.0,0.7,0.39677814746114537,0.8922087325936989,10.0
bart_fid_rag_bcb,others,proactive,0.8,0.49016247153664183,0.9433178485456247,10.0,0.0,0.0,0.27753279986288926,10.0,0.2,0.056682151454375246,0.5098375284633583,10.0
bart_fid_rag_bcb,others,quality,0.5,0.23659309051256394,0.7634069094874361,10.0,0.0,0.0,0.27753279986288926,10.0,0.5,0.23659309051256394,0.7634069094874361,10.0
bart_fid_rag_bcb,others,relevant,0.5,0.23659309051256394,0.7634069094874361,10.0,0.1,0.017876213095072924,0.40415002679523854,10.0,0.4,0.1681803297062361,0.6873262302663417,10.0
blender2_3B,others,consistent,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
blender2_3B,others,emotional,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
blender2_3B,others,engaging,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
blender2_3B,others,grammatical,0.0,0.0,0.43448246478317487,5.0,0.4,0.11762077423264788,0.7692757187239871,5.0,0.6,0.2307242812760129,0.8823792257673522,5.0
blender2_3B,others,informative,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
blender2_3B,others,proactive,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
blender2_3B,others,quality,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
blender2_3B,others,relevant,0.0,0.0,0.43448246478317487,5.0,0.0,0.0,0.43448246478317487,5.0,1.0,0.5655175352168252,1.0,5.0
cem,others,consistent,0.4166666666666667,0.1932603136587565,0.6804886874504502,12.0,0.5,0.253781597633706,0.746218402366294,12.0,0.08333333333333333,0.014865094404917095,0.35387991114111705,12.0
cem,others,emotional,0.6666666666666666,0.3906220888727995,0.8618799089087869,12.0,0.08333333333333333,0.014865094404917095,0.35387991114111705,12.0,0.25,0.08894166839405476,0.5323053349335658,12.0
cem,others,engaging,0.75,0.46769466506643426,0.9110583316059453,12.0,0.25,0.08894166839405476,0.5323053349335658,12.0,0.0,0.0,0.24249400665524096,12.0
cem,others,grammatical,0.3333333333333333,0.1381200910912131,0.6093779111272004,12.0,0.25,0.08894166839405476,0.5323053349335658,12.0,0.4166666666666667,0.1932603136587565,0.6804886874504502,12.0
cem,others,informative,0.75,0.46769466506643426,0.9110583316059453,12.0,0.25,0.08894166839405476,0.5323053349335658,12.0,0.0,0.0,0.24249400665524096,12.0
cem,others,proactive,0.5,0.253781597633706,0.746218402366294,12.0,0.5,0.253781597633706,0.746218402366294,12.0,0.0,0.0,0.24249400665524096,12.0
cem,others,quality,0.5833333333333334,0.31951131254954973,0.8067396863412435,12.0,0.3333333333333333,0.1381200910912131,0.6093779111272004,12.0,0.08333333333333333,0.014865094404917095,0.35387991114111705,12.0
cem,others,relevant,0.6666666666666666,0.3906220888727995,0.8618799089087869,12.0,0.16666666666666666,0.04696514218385381,0.4480308622529735,12.0,0.16666666666666666,0.04696514218385381,0.4480308622529735,12.0
dukenet,others,consistent,0.5555555555555556,0.26665129349549305,0.8112214789023355,9.0,0.2222222222222222,0.06322510711784671,0.5474110308930111,9.0,0.2222222222222222,0.06322510711784671,0.5474110308930111,9.0
dukenet,others,emotional,0.3333333333333333,0.1205838183869109,0.6457978644196039,9.0,0.2222222222222222,0.06322510711784671,0.5474110308930111,9.0,0.4444444444444444,0.18877852109766458,0.733348706504507,9.0
dukenet,others,engaging,0.3333333333333333,0.1205838183869109,0.6457978644196039,9.0,0.1111111111111111,0.019890887638544935,0.4349997055766561,9.0,0.5555555555555556,0.26665129349549305,0.8112214789023355,9.0
dukenet,others,grammatical,0.8888888888888888,0.5650002944233438,0.980109112361455,9.0,0.1111111111111111,0.019890887638544935,0.4349997055766561,9.0,0.0,2.7755575615628914e-17,0.29914504841954415,9.0
dukenet,others,informative,0.2222222222222222,0.06322510711784671,0.5474110308930111,9.0,0.1111111111111111,0.019890887638544935,0.4349997055766561,9.0,0.6666666666666666,0.3542021355803961,0.879416181613089,9.0
dukenet,others,proactive,0.2222222222222222,0.06322510711784671,0.5474110308930111,9.0,0.3333333333333333,0.1205838183869109,0.6457978644196039,9.0,0.4444444444444444,0.18877852109766458,0.733348706504507,9.0
