bot,bot comp,label,lose,CI low,CI high,n,tie,CI low,CI high,n,win,CI low,CI high,n
bart_fid_rag_bcb,others,consistent,0.5742574257425742,0.47685014529009984,0.6662230260366543,101.0,0.0,3.469446951953614e-18,0.03664064639985609,101.0,0.42574257425742573,0.33377697396334577,0.5231498547099003,101.0
bart_fid_rag_bcb,others,emotional,0.6237623762376238,0.5263864018376101,0.7120688837069802,101.0,0.039603960396039604,0.015507146202925828,0.09743919157119911,101.0,0.33663366336633666,0.251965742228649,0.4332732808524923,101.0
bart_fid_rag_bcb,others,engaging,0.6039603960396039,0.5064566738465978,0.693845766010858,101.0,0.009900990099009901,0.0017499112489682347,0.053967157994455076,101.0,0.38613861386138615,0.29702315121478295,0.48359798608419424,101.0
bart_fid_rag_bcb,others,grammatical,0.45544554455445546,0.3617360780927623,0.5524200191111854,101.0,0.15841584158415842,0.09992756899137682,0.2419358429055546,101.0,0.38613861386138615,0.29702315121478295,0.48359798608419424,101.0
bart_fid_rag_bcb,others,informative,0.43564356435643564,0.3430597191697986,0.5329435323470146,101.0,0.0,3.469446951953614e-18,0.03664064639985609,101.0,0.5643564356435643,0.4670564676529855,0.6569402808302015,101.0
bart_fid_rag_bcb,others,proactive,0.7029702970297029,0.6077495802310494,0.7833170880620782,101.0,0.019801980198019802,0.0054473224611470555,0.06934616962584346,101.0,0.27722772277227725,0.1993181504632866,0.37146233555645136,101.0
bart_fid_rag_bcb,others,quality,0.5841584158415841,0.48668116469928957,0.6754684294710319,101.0,0.009900990099009901,0.0017499112489682347,0.053967157994455076,101.0,0.40594059405940597,0.3153238575882661,0.5034501253978456,101.0
bart_fid_rag_bcb,others,relevant,0.6138613861386139,0.5164020139158059,0.7029768487852173,101.0,0.0,3.469446951953614e-18,0.03664064639985609,101.0,0.38613861386138615,0.29702315121478295,0.48359798608419424,101.0
blender2_3B,others,consistent,0.6176470588235294,0.5206975536972436,0.7060566905035885,102.0,0.00980392156862745,0.0017327343974216612,0.05345791476577755,102.0,0.37254901960784315,0.2849497607818802,0.46939980800055153,102.0
blender2_3B,others,emotional,0.45098039215686275,0.3579461994455504,0.5475728654707694,102.0,0.08823529411764706,0.04711555975757313,0.1592445855395142,102.0,0.46078431372549017,0.3672348657242559,0.5571803862087998,102.0
